"cruise","station","cast","datetime_utc","day_night","sample_split_factor","volume_ml","zoo_aliquot","haul_factor","taxa_code","taxa_name","conc_100m3","zooplankton_count","totcnt","primary_flag","secondary_flag"
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,1.29487925154187,1700,"Cumacea",0,0,649,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,1.29487925154187,500,"Decapoda",0,0,649,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,1.29487925154187,605,"Evadne",0,0,649,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,1.29487925154187,607,"Evadne nordmanni",0,0,649,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,1.29487925154187,606,"Evadne spinifera",0,0,649,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,1.29487925154187,892,"Gammaridae",0,0,649,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,1.29487925154187,895,"Gammaridea",220.992725596479,4,649,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,1.29487925154187,2900,"Invertebrata",0,0,649,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,1.29487925154187,568,"Lucifer",0,0,649,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,1.29487925154187,2800,"Mysida",0,0,649,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,1.29487925154187,2801,"Mysidopsis bigelowi",0,0,649,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,1.29487925154187,1801,"Nanomia cara",0,0,649,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,1.29487925154187,2802,"Neomysis americana",0,0,649,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,1.29487925154187,3209,"Paguridea",0,0,649,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,1.29487925154187,601,"Podon",0,0,649,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,1.29487925154187,202,"Sagitta elegans",0,0,649,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,1.29487925154187,203,"Sagitta enflata",0,0,649,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,1.29487925154187,201,"Sagitta serratodentata",0,0,649,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,1.29487925154187,3403,"Salpidae",0,0,649,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,1.29487925154187,305,"Spiratella",0,0,649,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,1.29487925154187,301,"Spiratella retroversa",0,0,649,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,1.29487925154187,2,"Unidentified Plankton",0,0,649,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,1.29487925154187,107,"Acartia longiremis",0,0,649,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,1.29487925154187,4195,"Acrocalanus longicornis",0,0,649,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,1.29487925154187,192,"Alteutha depressa",0,0,649,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,1.29487925154187,178,"Calanus",0,0,649,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,1.29487925154187,121,"Calanus hyperboreus",0,0,649,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,1.29487925154187,4070,"Calocalanus tenuis",0,0,649,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,1.29487925154187,4182,"Augaptilidae",0,0,649,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,1.29487925154187,4232,"Clausocalanidae",0,0,649,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,1.29487925154187,4012,"Calanidae",0,0,649,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,1.29487925154187,4231,"Spinocalanidae",0,0,649,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,1.29487925154187,5150,"Brachiopoda",0,0,649,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,1.29487925154187,2200,"Isopoda",0,0,649,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,1.29487925154187,4139,"Clytemnestra",0,0,649,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,1.29487925154187,4175,"Ctenocalanus vanus",0,0,649,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,1.29487925154187,4164,"Pseudodiaptomus",0,0,649,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,1.29487925154187,3200,"Anomura",0,0,649,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,1.29487925154187,4103,"Phaennidae",0,0,649,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,1.29487925154187,4278,"Ctenocalanus",0,0,649,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,1.29487925154187,196,"Metridiidae",0,0,649,1,NA
